method,mean_rho,mean_rho_tilde,mean_diff,wilcoxon_statistic,wilcoxon_p,n_pairs
ABOD,0.5280052169234377,0.6246581646696272,0.09665294774618952,130674.0,7.164020034417875e-22,600
ADOD,0.37266080586080585,0.3203270855685979,-0.05233372029220794,13783.0,0.9519466907830753,250
BoxPlot,0.8472030955203796,0.8679511114816988,0.02074801596131913,75437.0,0.16606836574195205,549
COPOD,0.8527232088288194,0.9369820378120348,0.08425882898321543,130642.0,4.60820121308584e-38,567
ChiSquare,0.890534608866292,0.9559509232847908,0.06541631441849863,128837.0,4.225565259264021e-20,600
ECOD,0.8826073472498115,0.9698696895702673,0.08726234232045581,135717.0,1.001774786481987e-45,567
EIF,0.6652686905853202,0.9474831642440488,0.28221447365872865,176681.0,1.540419597232622e-92,600
FeatureBagging,0.30511250796392686,0.38813177135918714,0.08301926339526025,134398.0,1.3326687022777552e-26,598
HBOS,0.6670731199333287,0.8256004039354644,0.1585272840021356,149752.0,5.051071992821566e-45,600
IForest,0.8192243600035679,0.931936357710869,0.11271199770730102,149960.0,2.5292640393467156e-45,600
KMeans,0.48794114114114107,0.5673461404023664,0.07940499926122536,135818.0,2.9434377678240634e-27,600
KNN,0.6685311150936599,0.8073351196564834,0.1388040045628235,145251.0,8.908880937791659e-39,600
LOF,0.32706157604736524,0.30756140251983327,-0.019500173527531937,92951.0,0.2548265758640317,600
MAD,0.8584383982388188,0.9162736159464461,0.05783521770762731,104883.0,4.4895724442281955e-06,600
Mahalanobis,0.7441821360673428,0.8450990342357435,0.10091689816840074,148366.0,4.770232412908356e-43,600
OCSVM,0.9105392471679602,0.9562896675570668,0.0457504203891067,118028.0,2.64200221788253e-11,600
ROD,0.5512372644755177,0.8162920960205184,0.26505483154500087,158779.0,5.166972205378791e-59,600
ThreeSigma,0.8126801271571745,0.9277748946161712,0.11509476745899666,143853.0,6.183911315010744e-37,600
